Angola,1988,18,18,x,x,x,x,x,x,x,x,46.3,103.08,x
Angola,1989,18,18,79.56084745199998,88.16267222600003,3.539999999999999,10.759999999999998,x,x,x,x,46.3,103.04,x
Angola,1990,18,18,78.94698438599998,87.79719394300002,3.619999999999999,10.379999999999999,x,x,x,x,46.4,103,x
Angola,1991,18,18,78.33312131999998,87.43171566000002,3.6999999999999993,10.0,x,x,x,x,46.3,103.0,x
Angola,1992,18,18,77.71925825399998,87.06623737700002,3.7799999999999994,9.62,x,x,x,x,46.6,103.0,x
Angola,1993,18,18,77.10539518799999,86.70075909400002,3.8599999999999994,9.239999999999998,x,x,x,x,46.1,103.0,x
Angola,1994,18,18,76.49153212199998,86.33528081100002,3.9399999999999995,8.86,x,x,x,x,46.5,103.0,x
Angola,1995,18,18,75.87766905599999,85.96980252800002,4.02,8.48,x,x,x,x,46,103,x
Angola,1996,18,18,75.26380599,85.60432424500002,4.1,8.1,x,x,x,x,46,103.0,x
Angola,1997,18,18,74.64994292399999,85.23884596200001,4.18,7.72,x,x,x,x,45.9,103.0,x
Angola,1998,18,18,74.036079858,84.87336767900001,4.26,7.34,x,x,x,x,46,103.0,x
Angola,1999,18,18,73.422216792,84.50788939600001,4.34,6.96,x,x,x,x,46,103.0,x
Angola,2000,18,18,72.808353726,84.14241111300001,4.42,6.58,x,x,x,x,46,103,x
Angola,2001,18,18,72.19449066,83.77693283,4.5,6.2,x,x,x,x,45.9,102.98,x
Angola,2002,18,18,71.58062759399999,83.411454547,4.58,5.82,x,x,x,x,46,102.96000000000001,x
Angola,2003,18,18,70.966764528,83.045976264,4.66,5.44,x,x,x,x,46,102.94,x
Angola,2004,18,18,70.352901462,82.680497981,4.74,5.0600000000000005,x,x,x,x,45.9,102.92,x
Angola,2005,18,18,69.739038396,82.315019698,4.82,4.680000000000001,x,x,x,x,45.8,102.9,x
Angola,2006,18,18,69.12517532999999,81.949541415,4.9,4.300000000000001,x,x,x,x,45.8,100.0,x
Angola,2011,18,18,66.05586,80.12215,x,x,x,x,x,x,45.752380952380946,100.0,x
Antigua and Barbuda,1960,18,18,99.4,98.4,x,x,1.4,0.2,27.3,32.3,x,x,x
Antigua and Barbuda,1981,18,18,99.4,98.4,44.6,48.2,0.5193548387096774,0.13225806451612904,31.29677419354839,32.90967741935484,x,x,x
Antigua and Barbuda,1985,18,18,99.4,98.4,48.02857142857143,50.714285714285715,0.3516129032258064,0.11935483870967743,32.058064516129036,33.02580645161291,x,99.0,289
Antigua and Barbuda,1986,18,18,99.4,98.4,48.885714285714286,51.34285714285714,0.3096774193548386,0.11612903225806452,32.248387096774195,33.05483870967742,x,99.0,245
