Country or Area,Year,Value
El Salvador,2005,103.9
El Salvador,2004,103.4
El Salvador,2003,103.5
El Salvador,2002,103.6
El Salvador,2001,103.6
El Salvador,2000,103.7
El Salvador,2000,103.9
El Salvador,1999,103.8
El Salvador,1998,103.9
El Salvador,1997,104
El Salvador,1996,104.1
El Salvador,1995,104.2
El Salvador,1995,104.3
El Salvador,1992,105.9
El Salvador,1992,103.9
El Salvador,1991,103.9
El Salvador,1990,104.3
El Salvador,1989,103.8
El Salvador,1988,104.4
El Salvador,1987,103.6
El Salvador,1986,104.3
El Salvador,1985,104.6
El Salvador,1985,103.3
Equatorial Guinea,2005,102.3
Equatorial Guinea,2002,102.4
Equatorial Guinea,2000,102.7
Equatorial Guinea,1995,103
Equatorial Guinea,1991,106
Equatorial Guinea,1990,103.3
Equatorial Guinea,1985,103.6
Eritrea,2005,104.1
Eritrea,2000,104.5
Eritrea,1995,105
Eritrea,1990,103.9
Eritrea,1985,103.8
Estonia,2005,117.1
Estonia,2004,117.1
Estonia,2003,117
Estonia,2002,116.9
Estonia,2001,116.9
Estonia,2000,116.8
Estonia,2000,116.8
Estonia,2000,116.8
Estonia,1999,116.8
Estonia,1998,116.7
Estonia,1997,116.6
Estonia,1996,116.3
Estonia,1995,115.9
Estonia,1995,115.8
Estonia,1994,115.5
Estonia,1993,115.1
Estonia,1992,114.4
Estonia,1991,113.8
Estonia,1990,113.8
Estonia,1990,113.7
Estonia,1989,114.1
Estonia,1989,113.9
Estonia,1988,114.2
Estonia,1987,114.4
Estonia,1986,114.7
Estonia,1985,115
Estonia,1985,114.9
Ethiopia,2005,101.1
Ethiopia,2004,99.5
Ethiopia,2003,99.5
Ethiopia,2002,99.4
Ethiopia,2001,99.2
Ethiopia,2000,101.3
Ethiopia,1999,99.2
Ethiopia,1998,99.1
Ethiopia,1997,99
Ethiopia,1996,98.9
Ethiopia,1995,98.7
Ethiopia,1995,101.3
Ethiopia,1994,98.7
Ethiopia,1990,101.4
Ethiopia,1985,101.5
Falkland Islands,2001,82.3
Falkland Islands,1996,77.2
Falkland Islands,1991,87.2
Falkland Islands,1986,88.9
Faroe Islands,1991,92.1
Faroe Islands,1990,91.9
Faroe Islands,1989,91.6
Faroe Islands,1987,90.9
Faroe Islands,1986,91
Faroe Islands,1985,91.1
Federated States of Micronesia,2005,96.9
Federated States of Micronesia,2000,97.5
Federated States of Micronesia,2000,97.6
Federated States of Micronesia,1995,95.6
Federated States of Micronesia,1994,95.7
Federated States of Micronesia,1990,95.5
Federated States of Micronesia,1985,95.4
Fiji,2005,97.1
Fiji,2000,96.9
Fiji,1996,96.8
Fiji,1995,96.8
Fiji,1990,96.9
Fiji,1986,97.3
Fiji,1985,98.3
Fiji,1985,97.4
Finland,2005,104.3
Finland,2004,104.4
Finland,2003,104.5
Finland,2002,104.6
Finland,2001,104.8
Finland,2000,104.8
Finland,2000,104.9
Finland,2000,104.9
Finland,1999,105
Finland,1998,105.1
Finland,1997,105.2
Finland,1996,105.3
Finland,1995,105.4
Finland,1995,105.4
Finland,1994,105.5
Finland,1993,105.6
Finland,1992,105.8
Finland,1991,105.9
Finland,1990,106
Finland,1990,106.1
Finland,1990,106.1
Finland,1989,106.2
Finland,1988,106.4
Finland,1987,106.4
Finland,1986,106.5
Finland,1985,106.5
Finland,1985,106.5
Finland,1985,106.5
Former Ethiopia,1990,99.1
France,2005,105.2
France,2004,105.8
France,2003,105.8
France,2002,105.9
France,2001,105.8
France,2000,105.9
France,2000,105.5
France,1999,105.9
France,1999,105.9
France,1998,105.9
France,1997,105.4
France,1996,105.8
France,1995,105.7
